ID	name	classID	score	pctRank	rank	pctCorrect
136	A136	99	12	4	939	24
137	A137	99	27	46	500	54
138	A138	99	19	20	763	38
139	A139	99	40	83	147	80
140	A140	99	49	98	5	98
141	A141	99	33	65	319	66
142	A142	99	21	27	693	42
143	A143	99	21	27	693	42
144	A144	99	23	33	631	46
145	A145	99	23	33	631	46
146	A146	99	27	46	500	54
147	A147	99	43	89	77	86
148	A148	99	25	40	569	50
149	A149	99	34	68	288	68
150	A150	99	34	68	288	68
151	A151	99	27	46	500	54
152	A152	99	27	46	500	54
153	A153	99	36	73	236	72
154	A154	99	31	59	376	62
155	A155	99	39	81	169	78
156	A156	99	38	79	188	76
157	A157	99	17	14	830	34
158	A158	99	29	53	434	58
159	A159	99	16	12	854	32
160	A160	99	30	56	410	60
161	A161	99	26	43	532	52
162	A162	99	18	17	800	36
163	A163	99	17	14	830	34
164	A164	99	19	20	763	38
165	A165	99	40	83	147	80
166	A166	99	30	56	410	60
167	A167	99	31	59	376	62
168	A168	99	45	93	42	90
169	A169	99	38	79	188	76
170	A170	99	24	37	599	48
171	A171	99	49	98	5	98
172	A172	99	19	20	763	38
173	A173	99	18	17	800	36
174	A174	99	31	59	376	62
175	A175	99	12	4	939	24
176	A176	99	36	73	236	72
177	A177	99	41	85	129	82
178	A178	99	26	43	532	52
179	A179	99	29	53	434	58
180	A180	99	23	33	631	46
181	A181	99	10	1	969	20
182	A182	99	20	23	729	40
183	A183	99	8	0	991	16
184	A184	99	46	95	28	92
185	A185	99	31	59	376	62
186	A186	99	21	27	693	42
187	A187	99	32	62	350	64
188	A188	99	36	73	236	72
189	A189	99	47	97	19	94
190	A190	99	45	93	42	90
191	A191	99	33	65	319	66
192	A192	99	26	43	532	52
193	A193	99	35	71	262	70
194	A194	99	39	81	169	78
195	A195	99	24	37	599	48
196	A196	99	10	1	969	20
197	A197	99	35	71	262	70
198	A198	99	41	85	129	82
199	A199	99	25	40	569	50
200	A200	99	24	37	599	48
201	A201	99	16	12	854	32
202	A202	99	36	73	236	72
203	A203	99	12	4	939	24
204	A204	99	26	43	532	52
205	A205	99	19	20	763	38
206	A206	99	38	79	188	76
207	A207	99	23	33	631	46
208	A208	99	32	62	350	64
209	A209	99	26	43	532	52
210	A210	99	38	79	188	76
211	A211	99	15	9	880	30
212	A212	99	21	27	693	42
213	A213	99	39	81	169	78
214	A214	99	9	1	982	18
215	A215	99	23	33	631	46
216	A216	99	7	0	995	14
217	A217	99	37	76	209	74
218	A218	99	25	40	569	50
219	A219	99	36	73	236	72
220	A220	99	13	6	917	26
221	A221	99	31	59	376	62
222	A222	99	10	1	969	20
223	A223	99	47	97	19	94
224	A224	99	31	59	376	62
225	A225	99	37	76	209	74
226	A226	99	42	87	104	84
227	A227	99	15	9	880	30
228	A228	99	28	50	467	56
229	A229	99	28	50	467	56
230	A230	99	22	30	662	44
231	A231	99	21	27	693	42
232	A232	99	28	50	467	56
233	A233	99	18	17	800	36
234	A234	99	27	46	500	54
235	A235	99	30	56	410	60
236	A236	99	48	98	12	96
237	A237	99	30	56	410	60
238	A238	99	41	85	129	82
239	A239	99	35	71	262	70
240	A240	99	23	33	631	46
241	A241	99	21	27	693	42
242	A242	99	21	27	693	42
243	A243	99	20	23	729	40
244	A244	99	16	12	854	32
245	A245	99	31	59	376	62
246	A246	99	25	40	569	50
247	A247	99	32	62	350	64
248	A248	99	19	20	763	38
249	A249	99	34	68	288	68
250	A250	99	43	89	77	86
251	A251	99	10	1	969	20
252	A252	99	34	68	288	68
253	A253	99	28	50	467	56
254	A254	99	12	4	939	24
255	A255	99	25	40	569	50
256	A256	99	16	12	854	32
257	A257	99	20	23	729	40
258	A258	99	26	43	532	52
259	A259	99	22	30	662	44
260	A260	99	28	50	467	56
261	A261	99	38	79	188	76
262	A262	99	6	0	996	12
263	A263	99	23	33	631	46
264	A264	99	17	14	830	34
265	A265	99	29	53	434	58
266	A266	99	42	87	104	84
267	A267	99	32	62	350	64
268	A268	99	36	73	236	72
269	A269	99	20	23	729	40
270	A270	99	28	50	467	56
271	A271	99	40	83	147	80
272	A272	99	40	83	147	80
273	A273	99	16	12	854	32
274	A274	99	22	30	662	44
275	A275	99	33	65	319	66
276	A276	99	35	71	262	70
277	A277	99	36	73	236	72
278	A278	99	28	50	467	56
279	A279	99	20	23	729	40
280	A280	99	22	30	662	44
281	A281	99	36	73	236	72
282	A282	99	43	89	77	86
283	A283	99	41	85	129	82
284	A284	99	31	59	376	62
285	A285	99	13	6	917	26
286	A286	99	30	56	410	60
287	A287	99	42	87	104	84
288	A288	99	29	53	434	58
289	A289	99	10	1	969	20
290	A290	99	37	76	209	74
291	A291	99	22	30	662	44
292	A292	99	40	83	147	80
293	A293	99	19	20	763	38
294	A294	99	44	92	62	88
295	A295	99	22	30	662	44
296	A296	99	15	9	880	30
297	A297	99	19	20	763	38
298	A298	99	23	33	631	46
299	A299	99	47	97	19	94
300	A300	99	31	59	376	62
301	A301	99	25	40	569	50
302	A302	99	32	62	350	64
303	A303	99	16	12	854	32
304	A304	99	29	53	434	58
305	A305	99	23	33	631	46
306	A306	99	21	27	693	42
307	A307	99	34	68	288	68
308	A308	99	21	27	693	42
309	A309	99	30	56	410	60
310	A310	99	34	68	288	68
311	A311	99	32	62	350	64
312	A312	99	8	0	991	16
313	A313	99	21	27	693	42
314	A314	99	25	40	569	50
315	A315	99	12	4	939	24
316	A316	99	29	53	434	58
317	A317	99	49	98	5	98
318	A318	99	16	12	854	32
319	A319	99	33	65	319	66
320	A320	99	40	83	147	80
321	A321	99	18	17	800	36
322	A322	99	22	30	662	44
323	A323	99	24	37	599	48
324	A324	99	8	0	991	16
325	A325	99	35	71	262	70
326	A326	99	25	40	569	50
327	A327	99	9	1	982	18
328	A328	99	16	12	854	32
329	A329	99	22	30	662	44
330	A330	99	40	83	147	80
331	A331	99	28	50	467	56
332	A332	99	34	68	288	68
333	A333	99	20	23	729	40
334	A334	99	29	53	434	58
335	A335	99	25	40	569	50
336	A336	99	16	12	854	32
337	A337	99	20	23	729	40
338	A338	99	29	53	434	58
339	A339	99	20	23	729	40
340	A340	99	33	65	319	66
341	A341	99	6	0	996	12
342	A342	99	31	59	376	62
343	A343	99	11	3	955	22
344	A344	99	29	53	434	58
345	A345	99	28	50	467	56
346	A346	99	27	46	500	54
347	A347	99	12	4	939	24
348	A348	99	19	20	763	38
349	A349	99	14	8	902	28
350	A350	99	43	89	77	86
351	A351	99	42	87	104	84
352	A352	99	18	17	800	36
353	A353	99	10	1	969	20
354	A354	99	34	68	288	68
355	A355	99	18	17	800	36
356	A356	99	12	4	939	24
357	A357	99	38	79	188	76
358	A358	99	48	98	12	96
359	A359	99	43	89	77	86
360	A360	99	15	9	880	30
361	A361	99	24	37	599	48
362	A362	99	25	40	569	50
363	A363	99	35	71	262	70
364	A364	99	32	62	350	64
365	A365	99	29	53	434	58
366	A366	99	19	20	763	38
367	A367	99	20	23	729	40
368	A368	99	34	68	288	68
369	A369	99	44	92	62	88
370	A370	99	33	65	319	66
371	A371	99	13	6	917	26
372	A372	99	34	68	288	68
373	A373	99	38	79	188	76
374	A374	99	29	53	434	58
375	A375	99	46	95	28	92
376	A376	99	11	3	955	22
377	A377	99	20	23	729	40
378	A378	99	27	46	500	54
379	A379	99	32	62	350	64
380	A380	99	37	76	209	74
381	A381	99	32	62	350	64
382	A382	99	11	3	955	22
383	A383	99	13	6	917	26
384	A384	99	32	62	350	64
385	A385	99	14	8	902	28
386	A386	99	31	59	376	62
387	A387	99	28	50	467	56
388	A388	99	39	81	169	78
389	A389	99	13	6	917	26
390	A390	99	13	6	917	26
391	A391	99	31	59	376	62
392	A392	99	13	6	917	26
393	A393	99	21	27	693	42
394	A394	99	30	56	410	60
395	A395	99	35	71	262	70
396	A396	99	15	9	880	30
397	A397	99	23	33	631	46
398	A398	99	23	33	631	46
399	A399	99	31	59	376	62
400	A400	99	43	89	77	86
401	A401	99	29	53	434	58
402	A402	99	19	20	763	38
403	A403	99	27	46	500	54
404	A404	99	20	23	729	40
405	A405	99	21	27	693	42
406	A406	99	27	46	500	54
407	A407	99	23	33	631	46
408	A408	99	27	46	500	54
409	A409	99	24	37	599	48
410	A410	99	19	20	763	38
411	A411	99	43	89	77	86
412	A412	99	37	76	209	74
413	A413	99	22	30	662	44
414	A414	99	33	65	319	66
415	A415	99	42	87	104	84
416	A416	99	34	68	288	68
417	A417	99	36	73	236	72
418	A418	99	31	59	376	62
419	A419	99	21	27	693	42
420	A420	99	10	1	969	20
421	A421	99	17	14	830	34
422	A422	99	30	56	410	60
423	A423	99	31	59	376	62
424	A424	99	15	9	880	30
425	A425	99	32	62	350	64
426	A426	99	17	14	830	34
427	A427	99	27	46	500	54
428	A428	99	35	71	262	70
429	A429	99	16	12	854	32
430	A430	99	27	46	500	54
431	A431	99	24	37	599	48
432	A432	99	44	92	62	88
433	A433	99	42	87	104	84
434	A434	99	48	98	12	96
435	A435	99	28	50	467	56
436	A436	99	43	89	77	86
437	A437	99	21	27	693	42
438	A438	99	15	9	880	30
439	A439	99	30	56	410	60
440	A440	99	37	76	209	74
441	A441	99	34	68	288	68
442	A442	99	42	87	104	84
443	A443	99	17	14	830	34
444	A444	99	16	12	854	32
445	A445	99	25	40	569	50
446	A446	99	33	65	319	66
447	A447	99	21	27	693	42
448	A448	99	39	81	169	78
449	A449	99	21	27	693	42
450	A450	99	40	83	147	80
451	A451	99	42	87	104	84
452	A452	99	24	37	599	48
453	A453	99	26	43	532	52
454	A454	99	39	81	169	78
455	A455	99	29	53	434	58
456	A456	99	40	83	147	80
457	A457	99	20	23	729	40
458	A458	99	30	56	410	60
459	A459	99	48	98	12	96
460	A460	99	23	33	631	46
461	A461	99	22	30	662	44
462	A462	99	41	85	129	82
463	A463	99	23	33	631	46
464	A464	99	23	33	631	46
465	A465	99	12	4	939	24
466	A466	99	33	65	319	66
467	A467	99	28	50	467	56
468	A468	99	18	17	800	36
469	A469	99	28	50	467	56
470	A470	99	38	79	188	76
471	A471	99	25	40	569	50
472	A472	99	18	17	800	36
473	A473	99	37	76	209	74
474	A474	99	22	30	662	44
475	A475	99	28	50	467	56
476	A476	99	42	87	104	84
477	A477	99	24	37	599	48
478	A478	99	26	43	532	52
479	A479	99	42	87	104	84
480	A480	99	37	76	209	74
481	A481	99	36	73	236	72
482	A482	99	18	17	800	36
483	A483	99	38	79	188	76
484	A484	99	33	65	319	66
485	A485	99	42	87	104	84
486	A486	99	23	33	631	46
487	A487	99	30	56	410	60
488	A488	99	46	95	28	92
489	A489	99	17	14	830	34
490	A490	99	47	97	19	94
491	A491	99	34	68	288	68
492	A492	99	41	85	129	82
493	A493	99	22	30	662	44
494	A494	99	19	20	763	38
495	A495	99	18	17	800	36
496	A496	99	47	97	19	94
497	A497	99	23	33	631	46
498	A498	99	19	20	763	38
499	A499	99	9	1	982	18
500	A500	99	20	23	729	40
501	A501	99	26	43	532	52
502	A502	99	26	43	532	52
503	A503	99	18	17	800	36
504	A504	99	33	65	319	66
505	A505	99	32	62	350	64
506	A506	99	10	1	969	20
507	A507	99	20	23	729	40
508	A508	99	34	68	288	68
509	A509	99	13	6	917	26
510	A510	99	26	43	532	52
511	A511	99	18	17	800	36
512	A512	99	45	93	42	90
513	A513	99	36	73	236	72
514	A514	99	24	37	599	48
515	A515	99	29	53	434	58
516	A516	99	23	33	631	46
517	A517	99	33	65	319	66
518	A518	99	20	23	729	40
519	A519	99	29	53	434	58
520	A520	99	20	23	729	40
521	A521	99	44	92	62	88
522	A522	99	19	20	763	38
523	A523	99	18	17	800	36
524	A524	99	18	17	800	36
525	A525	99	42	87	104	84
526	A526	99	43	89	77	86
527	A527	99	39	81	169	78
528	A528	99	45	93	42	90
529	A529	99	15	9	880	30
530	A530	99	21	27	693	42
531	A531	99	13	6	917	26
532	A532	99	23	33	631	46
533	A533	99	26	43	532	52
534	A534	99	25	40	569	50
535	A535	99	16	12	854	32
536	A536	99	43	89	77	86
537	A537	99	24	37	599	48
538	A538	99	16	12	854	32
539	A539	99	9	1	982	18
540	A540	99	37	76	209	74
541	A541	99	11	3	955	22
542	A542	99	27	46	500	54
543	A543	99	19	20	763	38
544	A544	99	45	93	42	90
545	A545	99	20	23	729	40
546	A546	99	27	46	500	54
547	A547	99	46	95	28	92
548	A548	99	29	53	434	58
549	A549	99	34	68	288	68
550	A550	99	33	65	319	66
551	A551	99	15	9	880	30
552	A552	99	43	89	77	86
553	A553	99	24	37	599	48
554	A554	99	42	87	104	84
555	A555	99	45	93	42	90
556	A556	99	45	93	42	90
557	A557	99	30	56	410	60
558	A558	99	37	76	209	74
559	A559	99	9	1	982	18
560	A560	99	31	59	376	62
561	A561	99	32	62	350	64
562	A562	99	17	14	830	34
563	A563	99	32	62	350	64
564	A564	99	43	89	77	86
565	A565	99	24	37	599	48
566	A566	99	19	20	763	38
567	A567	99	37	76	209	74
568	A568	99	38	79	188	76
569	A569	99	23	33	631	46
570	A570	99	28	50	467	56
571	A571	99	21	27	693	42
572	A572	99	17	14	830	34
573	A573	99	21	27	693	42
574	A574	99	37	76	209	74
575	A575	99	19	20	763	38
576	A576	99	6	0	996	12
577	A577	99	27	46	500	54
578	A578	99	21	27	693	42
579	A579	99	18	17	800	36
580	A580	99	35	71	262	70
581	A581	99	35	71	262	70
582	A582	99	49	98	5	98
583	A583	99	28	50	467	56
584	A584	99	45	93	42	90
585	A585	99	9	1	982	18
586	A586	99	36	73	236	72
587	A587	99	21	27	693	42
588	A588	99	30	56	410	60
589	A589	99	17	14	830	34
590	A590	99	14	8	902	28
591	A591	99	26	43	532	52
592	A592	99	41	85	129	82
593	A593	99	40	83	147	80
594	A594	99	18	17	800	36
595	A595	99	25	40	569	50
596	A596	99	11	3	955	22
597	A597	99	34	68	288	68
598	A598	99	47	97	19	94
599	A599	99	43	89	77	86
600	A600	99	45	93	42	90
601	A601	99	16	12	854	32
602	A602	99	20	23	729	40
603	A603	99	47	97	19	94
604	A604	99	44	92	62	88
605	A605	99	17	14	830	34
606	A606	99	48	98	12	96
607	A607	99	16	12	854	32
608	A608	99	42	87	104	84
609	A609	99	33	65	319	66
610	A610	99	43	89	77	86
611	A611	99	14	8	902	28
612	A612	99	19	20	763	38
613	A613	99	45	93	42	90
614	A614	99	11	3	955	22
615	A615	99	37	76	209	74
616	A616	99	13	6	917	26
617	A617	99	26	43	532	52
618	A618	99	20	23	729	40
619	A619	99	34	68	288	68
620	A620	99	36	73	236	72
621	A621	99	42	87	104	84
622	A622	99	37	76	209	74
623	A623	99	27	46	500	54
624	A624	99	16	12	854	32
625	A625	99	10	1	969	20
626	A626	99	24	37	599	48
627	A627	99	27	46	500	54
628	A628	99	27	46	500	54
629	A629	99	31	59	376	62
630	A630	99	35	71	262	70
631	A631	99	31	59	376	62
632	A632	99	45	93	42	90
633	A633	99	39	81	169	78
634	A634	99	29	53	434	58
635	A635	99	44	92	62	88
636	A636	99	20	23	729	40
637	A637	99	40	83	147	80
638	A638	99	36	73	236	72
639	A639	99	17	14	830	34
640	A640	99	46	95	28	92
641	A641	99	20	23	729	40
642	A642	99	45	93	42	90
643	A643	99	31	59	376	62
644	A644	99	35	71	262	70
645	A645	99	43	89	77	86
646	A646	99	41	85	129	82
647	A647	99	35	71	262	70
648	A648	99	20	23	729	40
649	A649	99	27	46	500	54
650	A650	99	32	62	350	64
651	A651	99	32	62	350	64
652	A652	99	27	46	500	54
653	A653	99	36	73	236	72
654	A654	99	12	4	939	24
655	A655	99	24	37	599	48
656	A656	99	15	9	880	30
657	A657	99	11	3	955	22
658	A658	99	24	37	599	48
659	A659	99	29	53	434	58
660	A660	99	41	85	129	82
661	A661	99	14	8	902	28
662	A662	99	42	87	104	84
663	A663	99	20	23	729	40
664	A664	99	29	53	434	58
665	A665	99	28	50	467	56
666	A666	99	39	81	169	78
667	A667	99	34	68	288	68
668	A668	99	19	20	763	38
669	A669	99	28	50	467	56
670	A670	99	21	27	693	42
671	A671	99	43	89	77	86
672	A672	99	19	20	763	38
673	A673	99	23	33	631	46
674	A674	99	38	79	188	76
675	A675	99	23	33	631	46
676	A676	99	22	30	662	44
677	A677	99	45	93	42	90
678	A678	99	32	62	350	64
679	A679	99	26	43	532	52
680	A680	99	22	30	662	44
681	A681	99	12	4	939	24
682	A682	99	15	9	880	30
683	A683	99	16	12	854	32
684	A684	99	26	43	532	52
685	A685	99	21	27	693	42
686	A686	99	14	8	902	28
687	A687	99	27	46	500	54
688	A688	99	13	6	917	26
689	A689	99	38	79	188	76
690	A690	99	13	6	917	26
691	A691	99	33	65	319	66
692	A692	99	33	65	319	66
693	A693	99	50	99	1	100
694	A694	99	26	43	532	52
695	A695	99	26	43	532	52
696	A696	99	29	53	434	58
697	A697	99	26	43	532	52
698	A698	99	20	23	729	40
699	A699	99	24	37	599	48
700	A700	99	37	76	209	74
701	A701	99	16	12	854	32
702	A702	99	24	37	599	48
703	A703	99	28	50	467	56
704	A704	99	36	73	236	72
705	A705	99	26	43	532	52
706	A706	99	37	76	209	74
707	A707	99	34	68	288	68
708	A708	99	26	43	532	52
709	A709	99	18	17	800	36
710	A710	99	22	30	662	44
711	A711	99	15	9	880	30
712	A712	99	34	68	288	68
713	A713	99	33	65	319	66
714	A714	99	47	97	19	94
715	A715	99	13	6	917	26
716	A716	99	39	81	169	78
717	A717	99	28	50	467	56
718	A718	99	31	59	376	62
719	A719	99	47	97	19	94
720	A720	99	6	0	996	12
721	A721	99	18	17	800	36
722	A722	99	8	0	991	16
723	A723	99	27	46	500	54
724	A724	99	44	92	62	88
725	A725	99	33	65	319	66
726	A726	99	19	20	763	38
727	A727	99	22	30	662	44
728	A728	99	28	50	467	56
729	A729	99	22	30	662	44
730	A730	99	29	53	434	58
731	A731	99	26	43	532	52
732	A732	99	26	43	532	52
733	A733	99	32	62	350	64
734	A734	99	43	89	77	86
735	A735	99	25	40	569	50
736	A736	99	37	76	209	74
737	A737	99	23	33	631	46
738	A738	99	42	87	104	84
739	A739	99	31	59	376	62
740	A740	99	34	68	288	68
741	A741	99	15	9	880	30
742	A742	99	24	37	599	48
743	A743	99	32	62	350	64
744	A744	99	25	40	569	50
745	A745	99	17	14	830	34
746	A746	99	38	79	188	76
747	A747	99	46	95	28	92
748	A748	99	13	6	917	26
749	A749	99	21	27	693	42
750	A750	99	21	27	693	42
751	A751	99	18	17	800	36
752	A752	99	42	87	104	84
753	A753	99	43	89	77	86
754	A754	99	27	46	500	54
755	A755	99	15	9	880	30
756	A756	99	30	56	410	60
757	A757	99	13	6	917	26
758	A758	99	46	95	28	92
759	A759	99	21	27	693	42
760	A760	99	19	20	763	38
761	A761	99	25	40	569	50
762	A762	99	28	50	467	56
763	A763	99	40	83	147	80
764	A764	99	22	30	662	44
765	A765	99	31	59	376	62
766	A766	99	35	71	262	70
767	A767	99	29	53	434	58
768	A768	99	32	62	350	64
769	A769	99	20	23	729	40
770	A770	99	23	33	631	46
771	A771	99	20	23	729	40
772	A772	99	27	46	500	54
773	A773	99	43	89	77	86
774	A774	99	46	95	28	92
775	A775	99	42	87	104	84
776	A776	99	35	71	262	70
777	A777	99	21	27	693	42
778	A778	99	11	3	955	22
779	A779	99	37	76	209	74
780	A780	99	21	27	693	42
781	A781	99	41	85	129	82
782	A782	99	31	59	376	62
783	A783	99	24	37	599	48
784	A784	99	15	9	880	30
785	A785	99	43	89	77	86
786	A786	99	44	92	62	88
787	A787	99	14	8	902	28
788	A788	99	33	65	319	66
789	A789	99	17	14	830	34
790	A790	99	38	79	188	76
791	A791	99	21	27	693	42
792	A792	99	30	56	410	60
793	A793	99	36	73	236	72
794	A794	99	37	76	209	74
795	A795	99	34	68	288	68
796	A796	99	34	68	288	68
797	A797	99	46	95	28	92
798	A798	99	33	65	319	66
799	A799	99	11	3	955	22
800	A800	99	24	37	599	48
801	A801	99	13	6	917	26
802	A802	99	30	56	410	60
803	A803	99	19	20	763	38
804	A804	99	37	76	209	74
805	A805	99	26	43	532	52
806	A806	99	38	79	188	76
807	A807	99	16	12	854	32
808	A808	99	41	85	129	82
809	A809	99	39	81	169	78
810	A810	99	29	53	434	58
811	A811	99	23	33	631	46
812	A812	99	18	17	800	36
813	A813	99	34	68	288	68
814	A814	99	22	30	662	44
815	A815	99	35	71	262	70
816	A816	99	34	68	288	68
817	A817	99	18	17	800	36
818	A818	99	37	76	209	74
819	A819	99	40	83	147	80
820	A820	99	40	83	147	80
821	A821	99	24	37	599	48
822	A822	99	13	6	917	26
823	A823	99	38	79	188	76
824	A824	99	44	92	62	88
825	A825	99	22	30	662	44
826	A826	99	22	30	662	44
827	A827	99	38	79	188	76
828	A828	99	30	56	410	60
829	A829	99	18	17	800	36
830	A830	99	29	53	434	58
831	A831	99	12	4	939	24
832	A832	99	14	8	902	28
833	A833	99	43	89	77	86
834	A834	99	43	89	77	86
835	A835	99	26	43	532	52
836	A836	99	16	12	854	32
837	A837	99	21	27	693	42
838	A838	99	19	20	763	38
839	A839	99	13	6	917	26
840	A840	99	19	20	763	38
841	A841	99	28	50	467	56
842	A842	99	36	73	236	72
843	A843	99	9	1	982	18
844	A844	99	40	83	147	80
845	A845	99	31	59	376	62
846	A846	99	20	23	729	40
847	A847	99	18	17	800	36
848	A848	99	10	1	969	20
849	A849	99	19	20	763	38
850	A850	99	23	33	631	46
851	A851	99	25	40	569	50
852	A852	99	36	73	236	72
853	A853	99	18	17	800	36
854	A854	99	31	59	376	62
855	A855	99	39	81	169	78
856	A856	99	14	8	902	28
857	A857	99	32	62	350	64
858	A858	99	43	89	77	86
859	A859	99	22	30	662	44
860	A860	99	28	50	467	56
861	A861	99	41	85	129	82
862	A862	99	26	43	532	52
863	A863	99	43	89	77	86
864	A864	99	44	92	62	88
865	A865	99	37	76	209	74
866	A866	99	19	20	763	38
867	A867	99	22	30	662	44
868	A868	99	37	76	209	74
869	A869	99	22	30	662	44
870	A870	99	29	53	434	58
871	A871	99	42	87	104	84
872	A872	99	19	20	763	38
873	A873	99	33	65	319	66
874	A874	99	10	1	969	20
875	A875	99	19	20	763	38
876	A876	99	24	37	599	48
877	A877	99	34	68	288	68
878	A878	99	26	43	532	52
879	A879	99	42	87	104	84
880	A880	99	26	43	532	52
881	A881	99	13	6	917	26
882	A882	99	34	68	288	68
883	A883	99	14	8	902	28
884	A884	99	43	89	77	86
885	A885	99	12	4	939	24
886	A886	99	18	17	800	36
887	A887	99	17	14	830	34
888	A888	99	33	65	319	66
889	A889	99	25	40	569	50
890	A890	99	44	92	62	88
891	A891	99	41	85	129	82
892	A892	99	24	37	599	48
893	A893	99	21	27	693	42
894	A894	99	35	71	262	70
895	A895	99	33	65	319	66
896	A896	99	40	83	147	80
897	A897	99	49	98	5	98
898	A898	99	44	92	62	88
899	A899	99	41	85	129	82
900	A900	99	25	40	569	50
901	A901	99	46	95	28	92
902	A902	99	41	85	129	82
903	A903	99	45	93	42	90
904	A904	99	34	68	288	68
905	A905	99	27	46	500	54
906	A906	99	13	6	917	26
907	A907	99	33	65	319	66
908	A908	99	25	40	569	50
909	A909	99	23	33	631	46
910	A910	99	42	87	104	84
911	A911	99	17	14	830	34
912	A912	99	16	12	854	32
913	A913	99	25	40	569	50
914	A914	99	41	85	129	82
915	A915	99	17	14	830	34
916	A916	99	16	12	854	32
917	A917	99	14	8	902	28
918	A918	99	37	76	209	74
